keyID,creationTimestamp,dernierTimeTampsSynchronisationAvecFireBase,appDesignedPourWorkingGrossisst3Ali,its_mode_affiche_que_produits_au_depot,mode_edite_dispo,credit_fait,nom,autres_Noms_SepareParComma,deviceModelNom,deviceModelId,period_Qui_Doit_Etre_Au_Entre,separeted_by_commas_keys_clients_a_cible_groupe_n1,keys_clients_a_cible_groupe_n2,keys_clients_a_cible_groupe_n3,image_detail_produit_s_affiche,presentoireEBoutiqueFilterProduitDuCatalogueAvecBsonObjectId,hideAppScreen,travailleChezGrossisst3Ali,affiche_toujoure_tariffs_tournet,its_Admin,c_Ouvert_Pour_Au_Command_Add_Period,text_Message_Warning,ne_affiche_que_fragment,itsProductionModePourCeCompt,ceComptVendeurInsertBonsAchatAuPeriodID,ceComptVendeurStartAffichePeriod,migreSonDataBaseAuStart,cConnectAuDevelopingDataBaseAuRelodApp,mainInitDataBaseProgressEtate,filter_marqueClient_Name,next_start,force_next_start_,activeDialogSearchM1Produit,active_ProduitKeyID_Au_DroopDown_PresenterEcran,active_CouleurKeyID_Extended_Image,affiche_Dialog_Fast_Affiche_Panie_App4,affiche_ProduitDataBaseEdites_ComposableViews,couleurAchateOperationIdOuvertPourCeCompt,couleurAchateOperationKeyOuvertPourCeCompt,ouvertProduitOnVentNom,current_OnVent_M14VentPeriode_KeyID,current_OnVent_M14VentPeriode_DebugInfos,onVentM8BonVentKey,onVentM8BonVentDebugInfos,onVentM1ProduitInfosKeyID,onVentM1ProduitInfosDebugName,onVentM3CouleurProduitInfosKeyID,onVentM3CouleurProduitDebugInfos,dialogAboveAll_OutlinedSearchListProduits,dialogChoisireQuantityM1ProduitInfosKeyID,dialogChoisireQuantityM1ProduitInfosDebugName,activeFocuce_TariffPrixDifineur_M1ProduitKeyID,activeFocuceTariffPrixDifineurM1ProduitDebugInfos,startTextSearchM1Produit,click_On_Marque,KeyByParent,vid,limite_couleurs_ou_leur_last_achate_est_moin_que_jour
-Or3qAomZZIidFPPEDDo,1777124031794,1777124031794,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTGg-Sns9jd8t3KX_k,1777550671902,1777550671902,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTHPxJM8rzbEVZ7rcO,1777550867037,1777550867037,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTefX_zvEvlQGyp5Cs,1777557221593,1777557221593,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTg0Y_-ORqN6VhU3Cd,1777557573966,1777557573966,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTqysyXGMdGsRwu0HA,1777560446592,1777560446592,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTsfXdr__42k19SX2-,1777560896517,1777560896517,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTuLnf76CokgwEqHAa,1777561331117,1777561331117,true,true,false,0.0,,,Redmi Note 8,RKQ1.201004.002,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTwQFD8zZ11iZMcrQX,1777561878509,1777561878509,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
-OrTxwlYEkb_aWQiI6eG,1777562278340,1777562278340,true,true,false,0.0,,,DT10-TAB4G,PPR1.180610.011,,""",""",""",""",""",""",true,,false,false,false,false,true,,,false,0,0,false,false,0.0,no Filter,StandartInit_Sans_RienFair,DeleteInsertAll_Active_Key,false,,,false,true,,,,,,,,,,null,null,false,null,null,null,null,,Standart,,1,30
